date,open,high,low,close,volume
2024-01-10 09:15:00,65.0,83.6,53.6,58.4,5959095
2024-01-10 09:20:00,58.4,69.0,53.35,60.3,4126755
2024-01-10 09:25:00,60.3,86.8,57.05,80.25,7314555
2024-01-10 09:30:00,80.25,84.7,31.3,31.3,9586095
2024-01-10 09:35:00,31.3,48.0,28.15,34.2,5697465
2024-01-10 09:40:00,34.2,37.75,24.55,24.75,4131645
2024-01-10 09:45:00,24.75,39.4,23.3,28.85,5110335
2024-01-10 09:50:00,28.85,30.4,22.4,25.1,3512535
2024-01-10 09:55:00,25.1,31.3,19.45,22.2,3186435
2024-01-10 10:00:00,22.2,25.95,21.65,25.4,2245545
2024-01-10 10:05:00,25.4,27.7,21.2,23.4,2535165
2024-01-10 10:10:00,23.4,23.4,17.95,18.15,2429865
2024-01-10 10:15:00,18.15,18.95,13.7,16.15,6610035
2024-01-10 10:20:00,16.15,21.85,15.55,20.8,3637050
2024-01-10 10:25:00,21.35,25.95,19.05,19.7,4237785
2024-01-10 10:30:00,19.7,20.0,15.25,16.2,2725575
2024-01-10 10:35:00,16.2,18.05,15.95,16.15,1300950
2024-01-10 10:40:00,16.15,22.7,15.85,21.6,2773635
2024-01-10 10:45:00,21.6,26.2,19.6,22.9,3320220
2024-01-10 10:50:00,22.9,24.55,18.7,21.2,2883495
2024-01-10 10:55:00,21.2,25.15,19.85,22.55,2721000
2024-01-10 11:00:00,22.55,24.15,17.2,19.0,3012645
2024-01-10 11:05:00,19.0,24.6,18.6,20.55,2991465
2024-01-10 11:10:00,20.55,22.2,14.8,15.2,2827110
2024-01-10 11:15:00,15.2,17.35,12.4,16.0,3380040
2024-01-10 11:20:00,16.0,16.45,13.05,13.85,2572890
2024-01-10 11:25:00,13.85,14.15,11.55,13.55,2494020
2024-01-10 11:30:00,13.4,16.45,12.5,15.95,2153565
2024-01-10 11:35:00,15.95,16.7,10.75,11.15,3012900
2024-01-10 11:40:00,11.15,11.9,9.75,11.8,4088355
2024-01-10 11:45:00,11.8,13.65,11.0,12.05,2168190
2024-01-10 11:50:00,12.05,13.85,11.25,12.8,1682370
2024-01-10 11:55:00,12.55,14.55,11.6,12.25,1709580
2024-01-10 12:00:00,12.25,14.85,11.3,14.7,1756995
2024-01-10 12:05:00,14.7,21.85,14.45,16.35,4914480
2024-01-10 12:10:00,16.35,17.45,12.5,14.7,3290955
2024-01-10 12:15:00,14.7,17.65,14.7,17.0,1581810
2024-01-10 12:20:00,17.0,19.15,14.8,17.3,3135345
2024-01-10 12:25:00,17.05,18.4,14.45,14.5,2024130
2024-01-10 12:30:00,14.5,16.25,11.45,11.75,3293520
2024-01-10 12:35:00,11.75,13.05,11.45,11.8,1806450
2024-01-10 12:40:00,11.8,17.2,11.6,16.9,2732115
2024-01-10 12:45:00,16.9,44.7,11.45,19.45,15959715
2024-01-10 12:50:00,19.45,24.85,16.7,17.75,6764670
2024-01-10 12:55:00,17.75,22.05,17.7,18.95,4023000
2024-01-10 13:00:00,18.95,20.95,16.3,18.1,3395370
2024-01-10 13:05:00,18.0,18.85,13.1,15.75,4623855
2024-01-10 13:10:00,15.75,17.1,12.05,12.95,3638655
2024-01-10 13:15:00,12.95,15.7,11.75,12.7,3391140
2024-01-10 13:20:00,12.7,15.25,12.6,13.75,2120040
2024-01-10 13:25:00,13.65,14.7,12.5,12.8,1906440
2024-01-10 13:30:00,12.8,14.2,10.45,13.8,3689130
2024-01-10 13:35:00,13.75,16.3,13.0,14.15,3207435
2024-01-10 13:40:00,14.15,17.6,10.7,10.75,3819585
2024-01-10 13:45:00,10.7,16.75,10.35,13.25,3766935
2024-01-10 13:50:00,13.25,13.9,10.95,10.95,2461530
2024-01-10 13:55:00,11.1,11.5,6.55,7.4,8989980
2024-01-10 14:00:00,7.4,8.3,5.85,8.15,6377250
2024-01-10 14:05:00,8.15,8.5,5.45,5.55,4454580
2024-01-10 14:10:00,5.45,5.6,3.55,3.75,4695990
2024-01-10 14:15:00,3.75,4.0,2.9,3.25,4984380
2024-01-10 14:20:00,3.25,5.25,2.8,4.8,7543170
2024-01-10 14:25:00,4.8,5.9,3.7,4.0,6191835
2024-01-10 14:30:00,4.0,4.2,2.45,2.5,4414050
2024-01-10 14:35:00,2.5,2.5,1.6,1.6,4608225
2024-01-10 14:40:00,1.6,1.8,1.5,1.55,4895655
2024-01-10 14:45:00,1.55,1.8,1.15,1.2,3189675
2024-01-10 14:50:00,1.2,1.2,0.7,0.8,4780935
2024-01-10 14:55:00,0.8,0.9,0.7,0.85,2681310
2024-01-10 15:00:00,0.8,0.85,0.4,0.45,3369000
2024-01-10 15:05:00,0.4,0.7,0.35,0.4,3261105
2024-01-10 15:10:00,0.4,0.5,0.2,0.25,1982265
2024-01-10 15:15:00,0.25,0.3,0.1,0.1,1710810
2024-01-10 15:20:00,0.15,0.15,0.05,0.05,1810560
2024-01-10 15:25:00,0.1,0.1,0.05,0.05,1054530
